,date,text
15,2022-03-25,This Economist Really Loves Free Markets Clifford Winston is a big fan of deregulation.
189,2022-03-30,The Battle for the Mural — and the Future of Belarus It started as an act of graffiti at a playground in Minsk. It turned into a remarkable campaign of defiance against an increasingly totalitarian regime.
138,2022-04-02,"One Weekend in Vegas With the Nation’s Auto Dealers After bottoming out early in the pandemic, profits and spirits are soaring — and people were ready to party."
176,2022-04-10,"Before Giving Billions to Jared Kushner, Saudi Investment Fund Had Big Doubts Before committing $2 billion to Mr. Kushner’s fledgling firm, officials at a fund led by the Saudi crown prince questioned taking such a big risk."
186,2022-04-20,Building the First Long-Distance Hiking Trail in Kurdistan Can it help knit together a nation?
154,2022-04-21,"Ex-Honduran President Extradited to United States to Face Drug Charges Juan Orlando Hernández, who stepped down in January, was flown to New York on Thursday after failed attempts to block the U.S. government’s extradition request."
171,2022-04-26,"What’s Next for Elon Musk and Twitter Twitter has accepted the $44 billion takeover offer, but there are plenty more questions to be answered about the company’s future."
125,2022-05-12,Tech’s Reckoning Is Upon Us The growth-at-any-cost mantra meets reality as technology company valuations bottom out.
48,2022-05-20,Piecing Together the Messages of Elon Musk A New York Times Presents documentary team had to assemble a visionary’s vision without his participation.
161,2022-05-26,"A Darker ‘Borgen’ Returns, and Heads to Greenland The acclaimed Danish series is back for a fourth season, which focuses on a geopolitical crisis brewing in Greenland."
100,2022-05-27,"Meet the Reclusive Software Billionaire Attacking Elon Musk Dan O’Dowd, a software entrepreneur in California, is running for Senate on a single-issue platform: Tesla’s self-driving software."
134,2022-06-01,"When Elon Musk Dreams, His Employees Have Nightmares His long list of unfulfilled commitments wildly exceeds his achievements."
121,2022-06-07,"‘We Need More Protection:’ Violence in Rural Mexico Ensnares Doctors As criminal organizations control more territory in less-populated regions, health care workers, caught in the crossfire, grow reluctant to work in such places."
37,2022-06-08,"How Safe Are Systems Like Tesla’s Autopilot? No One Knows. Automakers and technology companies say they are making driving safer, but verifying these claims is difficult."
34,2022-06-09,Federal safety agency expands its investigation of Tesla’s Autopilot system. NHTSA will take a broad look at whether the electric-car maker’s driver-assistance system can increase the risk of crashes.
147,2022-06-14,"Happy the Elephant Isn’t Legally a Person, Top New York Court Rules An advocacy group had argued that the elephant was being illegally detained at the Bronx Zoo, in a case involving ethical questions about the rights of highly intelligent animals."
182,2022-06-14,"Bosnia on the Brink Caught up in a 21st-century stew of ethnonationalism and fake history, the country’s Serbs are now endangering its fragile peace."
57,2022-06-15,Tesla Autopilot and Other Driver-Assist Systems Linked to Hundreds of Crashes The National Highway Traffic Safety Administration released data on 10 months of crashes involving cars with automated components. A few were fatal.
168,2022-06-30,"A Party Crawl With Pussy Riot’s Nadya Tolokonnikova At 21, she was a founding member of the Russian anti-government punk collective. At 22, she was imprisoned. A decade later, she’s still fighting, this time using cryptocurrency to help her subvert the system."
190,2022-07-01,"A Win for the Coal Industry, a Loss for the Planet Readers are dismayed by a Supreme Court decision limiting the E.P.A.’s authority to address climate change. Also: Car safety; revitalizing rural areas."
65,2022-07-12,"Robots Aren’t Done Reshaping Warehouses The pace of automation has accelerated in the pandemic, as big players invest billions in their efforts to streamline how goods are sorted and shipped."
102,2022-07-13,"For Blind Internet Users, the Fix Can Be Worse Than the Flaws Companies say their A.I.-powered tools are the best way to fix accessibility problems online, but many blind people find they make websites harder to use."
163,2022-07-20,‘Boomerang’ at 30: Think of It as the Robin Givens Rom-Com It’s remembered as Eddie Murphy’s bid at romantic stardom and as a key point in Halle Berry’s career. But the riveting antagonist arguably created a new archetype.
44,2022-08-06,California Regulator Accuses Tesla of Falsely Advertising Autopilot A state agency said the electric carmaker had misled the public in describing its driver-assistance service as autonomous.
35,2022-08-11,Driverless Cars Shouldn’t Be a Race Sometimes it’s better to be safe than first.
16,2022-08-16,Lyft Unveils Self-Driving Car Service in Las Vegas (With Caveats) The company joins several others that are introducing self-driving services — but the cars often have drivers or are otherwise limited in their autonomy.
173,2022-08-16,"Can Disney Do Better? Plus, the Tornado that is the latest threat to stability in cryptoland."
133,2022-08-22,"A Supplier of Rare Earth Metals Turns to Greenland in a Bid to Cut Reliance on Russia Neo Performance Materials of Canada announced a deal to begin mining in Greenland for the metals, which are a key component for electric cars."
191,2022-08-28,Possible Scenarios to Deal With the ‘Trump Problem’ Readers react to a guest essay saying there are “no unambivalently good options.” Also: Arctic warming; driverless cars; who gets published.
162,2022-09-07,The Supply Chain Broke. Robots Are Supposed to Help Fix It. The companies behind e-commerce are embracing automation as the means of transcending the limitations of humans.
76,2022-09-07,How One State Resisted Political Extremism — Against All Odds Michigan may hold lessons for residents of other states looking to withstand the tide of authoritarianism and violence. 
62,2022-09-08,What Antarctica’s Disintegration Asks of Us What if we saw Antarctica as a harbinger of transformation rather than doom?
43,2022-09-16,"As Driverless Cars Falter, Are ‘Driver Assistance’ Systems in Closer Reach? With investigations and lawsuits over accidents adding skepticism toward fully driverless technology, car companies are betting on systems that take some, but not all, control."
156,2022-09-16,"TikTok’s C.E.O. Navigates the Limits of His Power Shou Zi Chew, TikTok’s chief executive, is balancing how to be an autonomous leader while juggling the demands of the app’s Chinese parent company."
167,2022-09-16,"‘At the Breaking Point’: Tibetans, Under Lockdown, Make Rare Cries for Help China’s ever-tightening Covid rules have prompted public complaints from residents of areas usually intimidated into keeping quiet."
63,2022-09-28,The Long Road to Driverless Trucks Self-driving eighteen-wheelers are now on highways in states like California and Texas. But there are still human “safety drivers” behind the wheel. What will it take to get them out?
86,2022-09-28,Stuck on the Streets of San Francisco in a Driverless Car A reporter and a photographer went for a ride in an experimental autonomous vehicle operated by the General Motors subsidiary Cruise. There were bumps in the road.
183,2022-09-30,Transcript: Ezra Klein Interviews Vitalik Buterin A conversation with Ethereum’s founder Vitalik Buterin.
51,2022-09-30,Are Driverless Cars the Future of Transportation? Would you want to ride in one?
28,2022-10-04,"Behind the Story: Navigating San Francisco in a Driverless Car A reporter and a photographer went for a ride in an experimental autonomous vehicle. It was spooky, impressive, perplexing and a little stressful."
165,2022-10-06,The Learning Bulletin Board: Adaptations in Education From delivery robots to addressing the digital divide: a roundup of reactions and innovations inspired by new knowledge about learning and student needs.
14,2022-10-20,The Day I Stood in the Path of a Driverless Bus The Port Authority is testing electric vehicles with no driver for possible use at airports. It turns out they do stop if a pedestrian is in a crosswalk.
129,2022-10-26,"Tech Stocks Tumble as Growth Falters Disappointing earnings from Microsoft, Alphabet and Texas Instruments reveal the big challenges facing technology giants."
185,2022-10-26,"Beyond Catastrophe: A New Climate Reality Is Coming Into View There's plenty of bad news. But thanks to real progress, we're headed toward a less apocalyptic future."
38,2022-10-26,Ford Lost Money in the Third Quarter as Costs Surged The automaker is struggling with supply chain problems and wrote off its investment in a self-driving technology business.
159,2022-10-27,Credit Suisse Plans a Big Retreat From Wall Street Shares in the Swiss banking giant tumbled after its executive team laid out the details of a long-awaited restructuring plan.
91,2022-10-28,How China Is Fighting the Chip War With America The battle for technological superiority between the United States and China is the ultimate competition between two radically different systems.
97,2022-11-15,"What Riding in a Self-Driving Tesla Tells Us About the Future of Autonomy We took a ride with Tesla’s experimental self-driving system. It was by turns intriguing, impressive and scary."
118,2022-11-16,"Big-Name Donors Are Moving On From Trump Deep-pocketed conservatives, including Stephen A. Schwarzman and Kenneth C. Griffin, said they plan to back alternatives to the former president."
166,2022-11-25,"An Israeli Schoolboy Died in the West Bank. To Find His Body, Foes Joined Forces. After Palestinian gunmen refused to hand over a dead Israeli teenager on Tuesday, officials on both sides of the conflict worked together to recover his abducted body."
149,2022-11-30,San Francisco Considers Allowing Use of Deadly Robots by Police The Police Department said robots would use deadly force only “in extreme circumstances.” Opponents said the policy could lead to more police violence.
92,2022-12-05,‘Innovation Hubs’ Aim to Lift Distressed Areas. Congress Just Has to Fund Them. A new report suggests where 20 newly created research centers could best revitalize struggling economies and accelerate new technologies
33,2022-12-16,"G.M. Unit’s Self-Driving Taxis Are Subject of U.S. Safety Investigation The National Highway Traffic Safety Administration is looking into unexpected braking by cars operated by Cruise, a part of General Motors."
116,2022-12-19,Tesla’s Direct Sales Model Helps It Thwart Customer Lawsuits Sales contracts prevent buyers of the company’s electric cars from pursuing class-action suits if something goes wrong.
82,2022-12-21,"Elon Musk’s Distraction Is Just One of Tesla’s Problems The maker of electric cars faces sharp competition, plummeting shares and production woes while its chief executive is preoccupied with Twitter."
150,2023-01-04,Moscow Blames Its Own Troops Russia said its soldiers’ use of cellphones led to a strike that left 89 dead.
117,2023-01-08,"Facebook’s Bridge to Nowhere The tech giant had already remade the virtual world. For a brief period, it also tried to make it easier for people in the Bay Area to get to work. Then it gave up."
73,2023-01-13,Sweden Says It Has Uncovered a Rare Earth Bonanza A state-owned mining company announced it had found Europe’s largest deposit of the vital minerals used in electric vehicles and other green technology.
187,2023-01-13,"Transcript: Ezra Klein Show with Katharina Pistor The Jan. 13, 2023, episode of “The Ezra Klein Show.”"
85,2023-01-17,Elon Musk’s Appetite for Destruction A wave of lawsuits argue that Tesla’s self-driving software is dangerously overhyped. What can its blind spots teach us about the company’s erratic C.E.O.?
77,2023-01-27,"A Copper Mine Could Advance Green Energy but Scar Sacred Land Tribal groups are fighting an Arizona project whose backers say increasing the supply of copper, crucial to batteries, would reduce fossil-fuel use."
42,2023-01-31,"Tesla’s Self-Driving Technology Comes Under Justice Dept. Scrutiny A regulatory filing says officials have asked about software that Elon Musk, the chief executive, has said would allow cars to operate autonomously."
52,2023-02-01,Self-Driving Car Services Want to Expand in San Francisco Despite Recent Hiccups Waymo and Cruise hope to widen their projects to more of the city. But local officials are increasingly concerned about breakdowns causing congestion.
20,2023-02-02,"Ford Lost $2 Billion in 2022 as Some Investments Soured The company’s financial performance was hurt by its stake in Rivian, an electric truck company, and an autonomous car business."
3,2023-02-15,"Carmakers Are Pushing Autonomous Tech. This Engineer Wants Limits. Missy Cummings, who spent more than a year at the federal auto safety agency, said that drivers were putting too much trust in systems like Tesla’s Autopilot and that regulators needed to restrict their use."
157,2023-02-25,"The Furniture Hustlers of Silicon Valley As tech companies cut costs and move to remote work, their left-behind office furniture has become part of a booming trade."
122,2023-03-01,The Heat on Salesforce Grows Ahead of a Big Earnings Call The software giant faces mounting pressure from activist investors and pushback from employees unhappy about a wave of firings and the scaling back of office perks.
114,2023-03-04,A 120-Year-Old Company Is Leaving Tesla in the Dust Boring old Ford is proving to be a very modern company.
66,2023-03-08,The Perils of Working on a C.E.O.’s Pet Project Big tech companies have long been willing to fund efforts with no obvious payoff. But those groups have been hit hard in recent layoffs.
46,2023-03-10,"The New York Times News Quiz, March 10, 2023 Did you follow the news this week? Take our quiz to see how well you stack up with other Times readers."
60,2023-03-14,Volkswagen Will Invest $193 Billion in Electric Cars and Software The German automaker announced a plan to accelerate its transition to battery-powered vehicles and bolster operations in China and North America.
119,2023-03-16,"Can ChatGPT Plan Your Vacation? Here’s What to Know About A.I. and Travel. Powerful new artificial-intelligence software is already shaking up the travel industry, but it has a long way to go until it can plan a seamless trip. For now."
111,2023-04-11,Security Robots. DigiDog. GPS Launchers. Welcome to New York. Mayor Eric Adams unveiled an array of high-tech security devices that he said the Police Department would use to ensure New Yorkers’ safety.
146,2023-04-14,Why the Left and the Right Hate Kenneth Griffin’s Huge Gift to Harvard It exposes the moral compromises of the left and the cultural impotence of the right.
110,2023-04-22,"Japanese Ship, Torpedoed in 1942 With P.O.W.s Aboard, Is Found When the Montevideo Maru sank in the South China Sea during World War II, it was carrying hundreds of prisoners, most of them Australian."
32,2023-04-25,"Shift to Electric Cars Gives Design Centers a New Look, Too Automakers are pouring money into research and development facilities, creating spaces intended for creativity and collaboration among design and engineering teams."
188,2023-04-26,"Life Trends: How Emerging Technologies Are Giving People Control Over Their Digital Experiences In an unstable world, communities of belonging are more important than ever. That’s why people are using technology to build new digital identities. Will brands find success online by treating people as customers, or as part of the brand?"
30,2023-05-12,"Google’s A.I. Bonanza and Driverless Car Talk With Cruise C.E.O. Kyle Vogt Long-awaited tech like A.I., 3-D telepresence and driverless cars is finally reaching the public."
179,2023-05-16,"What’s a President to Do When a Nation’s Capital Is Sinking? Move It. Jakarta, like many places, faces an unsustainable future. Indonesia’s president is responding by building a new capital city from scratch."
41,2023-05-16,U.S. Tech Espionage Team Unveils First Cases Involving China and Russia A new division set up by the government to pursue sanctions evasion and technology espionage announced arrests of individuals with ties to foreign governments.
140,2023-05-17,"Washington Confronts the Challenge of Policing A.I. Lawmakers and Sam Altman, the chief executive of OpenAI, agreed that artificial intelligence should be regulated. How to do that remains an open question."
177,2023-05-21,"Start-Ups Bring Silicon Valley Ethos to a Lumbering Military-Industrial Complex Small, fast-moving U.S. tech firms are using the war in Ukraine to demonstrate a new generation of military systems but face the challenge of selling them to a risk-averse Defense Department."
144,2023-05-24,"Navy Destroyer Sunk in World War II Is Discovered Off Okinawa The U.S.S. Mannert L. Abele was broken in half by two kamikaze attacks and sank in 4,500 feet of water, killing 84 sailors."
115,2023-05-25,"Reid Hoffman Is on a Mission: To Show A.I. Can Improve Humanity Few are as involved in so many different artificial intelligence efforts as Mr. Hoffman, a Silicon Valley investor who co-founded LinkedIn."
170,2023-06-02,A Conversation With Gavin Newsom About the ‘California Effect’ Conor Dougherty of The New York Times spoke with the governor about leveraging California’s market power to influence policies in other states.
95,2023-06-10,The A.I. Revolution Will Change Work. Nobody Agrees How. The tally of how many jobs will be “affected by” world-changing technology is different depending on who you ask.
75,2023-06-13,"Inside a Remarkable Dance Program at a California Prison A conversation with Brian Seibert, a dance critic for The New York Times who wrote about a dance class freeing men’s bodies in a place meant to contain them."
93,2023-06-15,"Robert Mondavi Changed Wine. His Grandson Aims to Change Farming. Carlo Mondavi takes on climate change by pushing regenerative and organic agriculture, with the help of a smart electric tractor."
105,2023-06-20,"Rescuers Ramp Up Efforts to Find Craft Missing en Route to Titanic Wreckage Coast Guard and international crews redoubled their efforts to find the missing Titan watercraft, amid growing worries about how long the air supply would last deep underwater."
123,2023-06-28,Can China Export Its Way Out of Its Economic Slump? No country has had more export success than China. But Beijing faces risks in turning to the tested method of selling more abroad.
12,2023-07-06,The Little-Known Provision That Could Revolutionize Highway Travel Buried in the Infrastructure Investment and Jobs Act is a possible way to address all the costs associated with Americans’ love of driving.
175,2023-07-14,The Maverick Design Choices That May Have Doomed Titan Engineers interviewed by The New York Times pointed out several weak points in Titan that were cost-saving departures from proven submersible designs.
106,2023-07-18,"Air Taxis, Hyped for Years, May Finally Take Off Federal regulators released a plan that would allow a new generation of small aircraft to transport people short distances."
172,2023-07-20,Netflix’s Strike Defense Is Strong. It May Have Some Cracks Anyway. The company is best suited among media giants to cope with the Hollywood shutdown. But a lengthy strike by writers and actors will eventually cause damage.
139,2023-07-29,The Robots We Were Afraid of Are Already Here The long-anticipated automation revolution has begun. Robots are ready to operate forklifts and do laundry. It’s not as scary as it sounds.
71,2023-08-04,"Was It a Job Interview or a Date? She Soon Found Out. Ashutosh Upreti asked Katherine Maher out for drinks after they met at a friend’s Seder. At first, she mistakenly thought their get-together was for a job and began interviewing him."
83,2023-08-07,"A Zoom Call, Fake Names and an A.I. Presentation Gone Awry A.I. start-ups are competing fiercely with one another as a race to get ahead in the technology intensifies."
19,2023-08-09,San Francisco Balks at Expanding Driverless Car Services on City’s Roads Local officials are worried that state regulators are too eager about a plan by the companies Cruise and Waymo to offer round-the-clock driverless taxi services.
96,2023-08-09,"How the Pac-12 Implosion Could Change West Coast Athletics A conversation with Billy Witz, who covers college sports for The New York Times."
64,2023-08-11,"Air Taxi Rivals End Legal Fight and Agree to Collaborate Wisk Aero, owned by Boeing, entered a financial and technological partnership with Archer Aviation and dropped a lawsuit claiming theft of trade secrets."
23,2023-08-11,"Driverless Taxis Can Expand San Francisco Services, Regulators Say Autonomous Cruise and Waymo cars have been buzzing around the city for some time, and now can offer paid rides throughout it around the clock."
27,2023-08-17,"Driverless Car Gets Stuck in Wet Concrete in San Francisco Though driverless cars have not been blamed for any serious injuries or crashes in the city, they have been involved in several jarring episodes."
29,2023-08-18,"Sam Bankman-Fried Goes to Jail, Back to School With A.I. and A Self-Driving Car Update Sam Bankman-Fried lands himself back  in jail."
9,2023-08-19,"Cruise Agrees to Reduce Driverless Car Fleet in San Francisco After Crash A driverless Cruise taxi with a passenger collided with a fire truck Thursday night, just one week after state officials allowed the service to expand."
61,2023-08-21,"‘This Experience May Feel Futuristic’: Three Rides in Waymo Robot Taxis On Monday, Waymo began letting the public pay for rides in its driverless cars in San Francisco. The New York Times dispatched three reporters around the city to test the service."
11,2023-08-22,"A Bumpy Ride for San Francisco’s Driverless Taxis Autonomous vehicles scored a victory this month when state regulators approved their expansion in the city, but then the mishaps kept coming."
21,2023-08-23,"Ready or Not, Driverless Cars Are Here The streets of San Francisco are buzzing with autonomous taxis, prompting questions about traffic safety."
148,2023-08-24,"What if Your Town Doubled as a Residential Power Grid? A conversation with Kaya Laterman, who recently wrote about the growing number of microgrid communities in the country."
109,2023-08-27,"A.I. Brings the Robot Wingman to Aerial Combat An Air Force program shows how the Pentagon is starting to embrace the potential of a rapidly emerging technology, with far-reaching implications for war-fighting tactics, military culture and the defense industry."
22,2023-08-31,"Along for the Ride, With No One Behind the Wheel Three New York Times technology reporters recently buckled up for a ride in Waymo’s autonomous vehicles."
99,2023-09-01,"Readers Share What Has Brought Them Joy in 2023 You’ve danced in the rain, dived off a cliff, planted a native garden and savored other delightful moments."
2,2023-09-02,"Driverless Taxis Blocked Ambulance in Fatal Accident, San Francisco Fire Dept. Says Two Cruise taxis delayed an ambulance carrying a car accident victim to a hospital, a department report said. The company said it was not at fault."
145,2023-09-05,Dozens of ‘Cop City’ Activists Are Indicted on Racketeering Charges Opponents of a police training facility in Atlanta say they are engaged in legitimate acts of protest. Prosecutors accuse them of taking part in a sprawling criminal enterprise.
143,2023-09-14,Dominican Republic Will Close Border With Haiti Amid Water Dispute The Dominican president said the military would enforce the measure on Friday morning. Experts warned the closure could deepen Haiti’s economic crisis.
74,2023-09-17,"They’re Ultrarich Techies, and They Want to Build a City From Scratch. What Could Go Wrong? The latest effort by tech titans to create their own technotopia doesn’t bode well for cities old or new."
0,2023-10-11,"Autonomous Vehicles Are Driving Blind When it comes to driverless cars, A.I. undergoes far less government scrutiny than humans before commanding the wheel."
184,2023-10-19,"The Botched Hunt for the Gilgo Beach Killer For 13 years, police failed to scrutinize the man now accused of the infamous murders. Why did it take so long?"
24,2023-10-24,"Cruise’s Driverless Taxi Service in San Francisco Is Suspended California’s Department of Motor Vehicles cited safety concerns for the suspension, about three months after the state allowed an expansion."
169,2023-10-25,My Son Poses a Threat to My Safety. Should I Evict Him? The magazine’s Ethicist columnist on whether parental responsibility should outweigh a person’s well-being.
178,2023-10-25,"For a Grandmother in Gaza, History Is Scarier Than Airstrikes From his Los Angeles home, Mohammed Abujayyab has sought to help his grandmother and other relatives survive the Israeli bombardment. Memories of displacement are never far."
53,2023-10-25,"Long on Hype, A.I. Is No Guarantee for Profits The latest quarterly results from Microsoft and Alphabet show that their big investments in artificial intelligence are on different trajectories."
40,2023-10-27,Cruise Stops All Driverless Taxi Operations in the United States The move comes just two days after California regulators told the company to take its autonomously driven cars off the road.
137,2023-10-27,What Ford’s Labor Deal Might Mean for the Auto Industry Car manufacturers must now raise labor costs as they confront slower-than-expected demand for electric vehicles.
81,2023-11-03,"G.M.’s Cruise Moved Fast in the Driverless Race. It Got Ugly. Cruise has hired a law firm to investigate how it responded to regulators, as its cars sit idle and questions grow about its C.E.O.’s expansion plans."
141,2023-11-06,"Tech Start-Ups Try to Sell a Cautious Pentagon on A.I. Shield AI, a tech start-up, already has a drone run by artificial intelligence being used by the Israeli military. But persuading the Pentagon to embrace the technology remains a big challenge."
50,2023-11-07,"Uber Reports Record Ridership and Second Straight Quarterly Profit Revenue was up 11 percent from a year earlier, helping to generate $221 million in net income."
142,2023-11-08,The Traffic Jam in Low Earth Orbit Elon Musk's satellites. Stuffed animals. Tomatoes? You wouldn't believe what's circling Earth these days.
68,2023-11-19,"New Tool for Building and Fixing Roads and Bridges: Artificial Intelligence In Pennsylvania and elsewhere, A.I. is being applied to the nation’s aging infrastructure. Is that wise?"
88,2023-11-20,"Cruise’s C.E.O. Quits as the Driverless Carmaker Aims to Rebuild Trust Kyle Vogt, a founder of Cruise, resigned from the company on Sunday, weeks after it suspended all of its self-driving operations."
6,2023-11-20,"‘Lost Time for No Reason’: How Driverless Taxis Are Stressing Cities In San Francisco and Austin, Texas, where passengers can hail self-driving vehicles, the cars have added to the workloads of city employees."
69,2023-11-21,"The Long Shadow of Steve Jobs Looms Over the Turmoil at OpenAI Sam Altman, the most prominent promoter of artificial intelligence, learned that it’s hard to be a visionary founder like the Apple legend."
18,2023-11-29,G.M. to Cut Spending on Cruise Self-Driving Unit General Motors will “substantially lower spending” on autonomous vehicle efforts in 2024 after accidents with its self-driving taxis in San Francisco.
98,2023-11-29,"The U.S. Charged an Indian Man in a Plot to Kill a Sikh Activist Also, negotiators race to extend the Gaza truce. Here’s the latest at the end of Wednesday."
89,2023-11-30,"Musk’s Bombshell Warning to Advertisers, and Other Summit Highlights Artificial intelligence, antisemitism, the 2024 presidential election, war in the Middle East and other big topics that made headlines at this year’s DealBook Summit."
94,2023-11-30,There’s Still Time to See Fall Foliage in California If you know where to look.
58,2023-12-14,Struggling Cruise Cuts About 25 Percent of Its Workers The embattled self-driving car subsidiary of General Motors faces an uncertain future after California regulators shut down its robot taxi service in the state.
107,2023-12-15,The Debate on Wall Street: Did the Fed Pivot Too Soon? The S&P 500 is on the cusp of a new record high following the central bank’s dovish forecast on interest rates. But some market watchers are questioning the durability of the rally.
124,2023-12-27,"The Beautiful Desolation of Life on Mars — On Earth To live on the red planet, humans will need to bring along small reminders of home."
31,2023-12-30,The Pentagon Road to Venture Capital Here is a list of people who have jumped from the Pentagon and other government posts into jobs with venture capitalists that are backing defense technology startups.
152,2024-01-10,"The Tech That Needs Fixing in 2024, and What Got Fixed Last Year The best tech, from universal power charging to foldable phones, solved practical problems. But the worst tech, including self-driving cars and cryptocurrency, put us in harm’s way."
4,2024-01-25,"Cruise Says Hostility to Regulators Led to Grounding of Its Autonomous Cars A law firm’s review found that executives had failed to fully explain an October crash, which the Justice Department is also investigating."
128,2024-01-26,The F.T.C. Takes on A.I. Deals The agency is concerned that transactions including Microsoft’s $13 billion investment in OpenAI could hinder competition and innovation.
59,2024-01-30,"G.M. Profits Hurt by Electric Car Business and Strike The automaker has placed a bet on electric vehicles, but it has struggled to produce and sell the vehicles in large numbers."
113,2024-01-31,"Everybody Is Talking About A.I. What the Heck Is It, Anyway? A guide to the best books about artificial intelligence."
13,2024-02-02,We Tried the Apple Vision Pro + Can Congress Protect Kids Online? + Cruise’s Crash Introducing DJ TaskRabbit.
47,2024-02-06,"Stop Wearing Vision Pro Goggles While Driving Your Tesla, U.S. Says Videos, many of them stunts or jokes, of people wearing Apple’s new virtual reality headset while driving Teslas in Autopilot mode prompted officials to issue warnings."
67,2024-02-12,"How China Built BYD, Its Tesla Killer The leading Chinese electric vehicle company, with origins as a battery maker, has posted two years of million-car growth in sales."
104,2024-02-21,China’s Rush to Dominate A.I. Comes With a Twist: It Depends on U.S. Technology China’s tech firms were caught off guard by breakthroughs in generative artificial intelligence. Beijing’s regulations and a sagging economy aren’t helping.
39,2024-02-27,"Apple Kills Its Electric Car Project The car, which Apple spent billions of dollars researching, had been intended as a rival to Tesla’s E.V.s, which include autonomous driving features."
49,2024-02-28,Behind Apple’s Doomed Car Project: False Starts and Wrong Turns Internal disagreements over the direction of the Apple car led the effort to sputter for years before it was canceled this week.
108,2024-03-01,Why Elon Musk Is Taking OpenAI and Sam Altman to Court The tech mogul wants to force the A.I. start-up to reveal its research to the public and prevent it from pursuing profits.
5,2024-03-09,"BMW Is a Surprise Winner in Electric Vehicles Once considered a laggard, the German luxury carmaker is one of only a few established automakers that has been able to compete effectively against Tesla."
181,2024-03-12,"Transcript: Ezra Klein Talks About the State of the Union and Biden’s 2024 Campaign The March 12, 2024, episode of “The Ezra Klein Show.”"
10,2024-03-20,When Nobody Is Behind the Wheel in Car-Obsessed Los Angeles Autonomous taxis have arrived in the nation’s second most populous city. Some Angelenos aren’t ready to go driverless.
127,2024-03-23,"It’s a Golden Age for Shipwreck Discoveries. Why? More lost shipwrecks are being found because of new technology, climate change and more vessels scanning the ocean floor for science or commerce."
8,2024-04-02,How Will Self-Driving Cars Handle Jaywalkers? The city is introducing a permit process for testing autonomous cars on the streets of New York. The vehicles will face some unique challenges.
55,2024-04-09,"Tesla Settles Lawsuit Over a Fatal Crash Involving Autopilot A Tesla driver’s family had sought damages for the 2018 crash, which happened while the carmaker’s driver-assistance software was in use."
70,2024-04-09,"What Happened When a German Car Factory Went All Electric Volkswagen’s plant in Zwickau stopped producing Golfs and switched to electric vehicles, illuminating the risks and opportunities for factory towns and cities."
103,2024-04-16,"Why Germany Can’t Break Up With China China remains one of the most important markets for Germany’s export-driven economy, prompting a three-day visit by the German chancellor, who has stressed the importance of open markets."
101,2024-04-19,"Scotland Made Big Climate Pledges. Now They’re ‘Out of Reach.’ Despite significant progress, Scotland was falling short on cutting vehicle emissions, switching to heat pumps and even restoring peatland, the government said."
